Site,Link,Size,First Name,Last Name,Email,Password,Phone,Address 1,Address 2,ZIP,City,Country,Instagram,Raffle ID,Size ID,Street Number,Salutation,Question,Birth Day,Birth Month,Birth Year,Store,Region,Instore,Phone Code
43einhalb,,,test,tester,test@gmail.com,,,street123,,9999,Selfoss,Iceland,test,,495309,16,m,,,,,,,,
Solebox,https://blog.solebox.com/nike-stussy-huarache-instore-raffle/,random,test,tester,test@gmail.com,,+4799999999,,,,,Iceland,test,,,,m,,03,07,,Berlin,,,
Stress95,https://stress95.typeform.com/to/o2ROlcwh,,test,tester,test@gmail.com,,,,,,,Iceland,test,,,,,,,,,,,,
Titolo,https://titolo.club/air-jordan-1-zoom-cmfrt-x-paris-saint-germain/#raffle,random,test,tester,test@gmail.com,,+4799999999,street123,,9999,Selfoss,Iceland,test,,,,m,,,,,,,,
NakedCPH,,,test,tester,test@gmail.com,,+4799999999,street123,,9999,Selfoss,Norway,test,76665,,,,,,,,,,,
WoodWood,https://www.woodwood.com/en/267/nike-dunk-low-retro-prm-medium-curry-raffle,,test,tester,test@gmail.com,,+4799999999,street123,,9999,Stockholm,SE,,,,,,,,,,,,,
YMEUniverse,https://ymeuniverse.typeform.com/to/pQX0XwxW,,test,tester,test@gmail.com,,+4799999999,,,,,,test,,,,f,,,,,,,,
BSTN,https://raffle.bstn.com/air-jordan-iv-retro-taupe-,random,test,tester,test@gmail.com,,,street123,street123,9999,Bergen,NO,test,air-jordan-iv-retro-taupe-,,30,f,,11,5,,,,,
4Elementos,https://app3.salesmanago.pl/ms/sid/khalyc1vfryy33u1/jt1p88r6xnil81ww.htm,44,test,tester,test@gmail.com,,+4799999999,street123,,9999,Houston,United States,test,,,29,,,08,07,2003,,Texas,,
Patta,https://www.patta.nl/blogs/raffles/air-jordan-1-zoom-air-cmft-photon-dust-light-smoke-grey-grey-fog-1,random,test,tester,test@gmail.com,test123,+4799999999,street123,,9999,Helsinki,Finland,test,,,,,,03,05,2003,,,,
Shinzo,https://raffle.shinzo.paris/en/nike-dunk-low-sp-city-market,random,test,tester,test@gmail.com,,+4799999999,street123,,9999,Stockholm,Sweden,test,,,,,,,,,,,,
Maha,https://www.maha-amsterdam.com/us/nike-dunk-low-sp-multicolor.html,random,test,tester,test@gmail.com,,,street123,,9999,Stockholm,SE,test,,,,,,,,,,,,
Warsaw,https://z.chmielna20.pl/skepta-x-nike,random,test,tester,test@gmail.com,,999 999 999,,,,Stockholm,Sweden,,,,,,,30,03,2021,,,,+47
